regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,20.583130587907025,20.56143927696482,20.567480937647737,20.54887068356058,20.567481177348256,20.54887087022157
BM-CFR+,20.56143927696482,20.797424384218044,20.792242628456094,20.797521384741028,20.792242933733707,20.797521612592153
PCFR+,20.567480937647737,20.792242628456094,20.7976184379771,20.78095715677174,20.797618742798058,20.780957384869268
BM-PCFR+,20.54887068356058,20.797521384741028,20.78095715677174,20.797618591206458,20.7809574616932,20.797618819412747
PCFR+ (γ=∞),20.567481177348256,20.792242933733707,20.797618742798058,20.7809574616932,20.797619047619044,20.78095768979074
BM-PCFR+ (γ=∞),20.54887087022157,20.797521612592153,20.780957384869268,20.797618819412747,20.78095768979074,20.79761904761904
