regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,0.0,3.966515863722611e-06,1.217566378512551e-05,3.6754724600813332e-06,-2.6118132185780005e-05,-2.073972174760491e-05
BM-CFR+,-3.966515863722611e-06,0.0,1.0450394859544757e-05,2.498382379756414e-06,-2.4779098625601556e-05,-1.8749538050664982e-05
PCFR+,-1.217566378512551e-05,-1.0450394859544757e-05,0.0,-6.541659112504691e-06,-4.573203329276583e-05,-3.6624701546980956e-05
BM-PCFR+,-3.6754724600813332e-06,-2.498382379756414e-06,6.541659112504691e-06,0.0,-3.184446605311239e-05,-3.241453032109751e-05
PCFR+ (γ=∞),2.6118132185780005e-05,2.4779098625601556e-05,4.573203329276583e-05,3.184446605311239e-05,0.0,8.733592703164678e-06
BM-PCFR+ (γ=∞),2.073972174760491e-05,1.8749538050664982e-05,3.6624701546980956e-05,3.241453032109751e-05,-8.733592703164678e-06,0.0
