,Operation,Total,Average,Standard error
0,TimedCFR.calculate_behavioral_strategy,4.216059446334839,0.0021059237993680513,6.249424117755406e-06
1,TimedCFR.convert_to_sequence_form,1.060293436050415,0.0005296171009242833,6.687012160665785e-07
2,TimedCFR.update_average_strategy,0.08168196678161621,4.0840983390808104e-05,4.5632603149499167e-07
3,TimedCFR.memoize_counterfactual_utility,8.972286462783813,0.004486143231391907,5.358653535220149e-06
4,TimedCFR.update_counterfactual_regrets,0.5844204425811768,0.0002922102212905884,2.5146805722524703e-07
