,Operation,Total,Average,Standard error
0,TimedCFR.calculate_behavioral_strategy,37.80155611038208,0.01888189615903201,7.187312789850613e-06
1,TimedCFR.convert_to_sequence_form,8.264373540878296,0.0041280587117274205,4.112248467201653e-06
2,TimedCFR.update_average_strategy,2.3932394981384277,0.0011966197490692139,2.443279756277683e-06
3,TimedCFR.memoize_counterfactual_utility,33.817734241485596,0.0169088671207428,1.1770205285751272e-05
4,TimedCFR.update_counterfactual_regrets,5.718997955322266,0.002859498977661133,1.832209087000438e-06
