regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,1.8109209134578692,1.809876481240214,1.8072438279675263,1.802490667953152,1.799445752349024,1.8024854493482643
BM-CFR+,1.8109579424039188,1.8099147747518936,1.807270878442931,1.8025008924510844,1.7993849614483297,1.8024956288682694
PCFR+,1.8109195144236763,1.8098934030343587,1.807255487408081,1.802505018975294,1.7992529962576873,1.8024997850050344
BM-PCFR+,1.8108676350689537,1.809868647722016,1.8072345422674019,1.8025047454152046,1.7990023706794895,1.8024995327053515
PCFR+ (γ=∞),1.8103853204043179,1.8094611340204594,1.8069696763465484,1.8025045277357143,1.7990034831338924,1.8024999111278148
BM-PCFR+ (γ=∞),1.8108679209823606,1.8098689862319035,1.8072348833138925,1.802505119928994,1.7990022381935682,1.8024999072651262
