regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,0.0,-7.476948811445394e-06,-3.646267778258799e-05,-3.176577780274886e-05,-5.137936655964792e-05,-4.4868045985656246e-05
BM-CFR+,7.476948811445394e-06,0.0,-3.019627787895912e-05,-2.4817161000889598e-05,-5.051378505468995e-05,-3.635785965534766e-05
PCFR+,3.646267778258799e-05,3.019627787895912e-05,0.0,4.483422148947314e-06,-2.3636930869264106e-05,-7.490307367671867e-06
BM-PCFR+,3.176577780274886e-05,2.4817161000889598e-05,-4.483422148947314e-06,0.0,-3.652986714142853e-05,6.595959222352454e-06
PCFR+ (γ=∞),5.137936655964792e-05,5.051378505468995e-05,2.3636930869264106e-05,3.652986714142853e-05,0.0,1.2698286018193727e-05
BM-PCFR+ (γ=∞),4.4868045985656246e-05,3.635785965534766e-05,7.490307367671867e-06,-6.595959222352454e-06,-1.2698286018193727e-05,0.0
