regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,0.0,2.3846695382592764e-07,-1.243307663521126e-06,-1.2576341100536959e-06,-1.250092207204928e-06,-1.3176840073896023e-06
BM-CFR+,-2.3846695382592764e-07,0.0,-1.4210051224802789e-06,-1.4355370088446617e-06,-1.4277061848554096e-06,-1.430518010516607e-06
PCFR+,1.243307663521126e-06,1.4210051224802789e-06,0.0,1.4186522824533032e-09,-6.792483527029436e-09,-6.819880302849635e-09
BM-PCFR+,1.2576341100536959e-06,1.4355370088446617e-06,-1.4186522824533032e-09,0.0,-8.246256497090876e-09,-8.239504949852927e-09
PCFR+ (γ=∞),1.250092207204928e-06,1.4277061848554096e-06,6.792483527029436e-09,8.246256497090876e-09,0.0,-2.0816681711721685e-17
BM-PCFR+ (γ=∞),1.3176840073896023e-06,1.430518010516607e-06,6.819880302849635e-09,8.239504949852927e-09,2.0816681711721685e-17,0.0
