regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,0.37487427928841577,0.37497236814138585,0.3749720525368259,0.3749696409834686,0.3749718692011195,0.3739389548041076
BM-CFR+,0.37487721965392456,0.37497569968453914,0.3749768529012864,0.3749744057468264,0.374976672189072,0.37394321046402285
PCFR+,0.37490001533981987,0.37499843508785086,0.3749993175298318,0.3749969032095933,0.3749991371731368,0.37396563230330576
BM-PCFR+,0.37489996339087944,0.3749985280710568,0.3749998124106374,0.3749973969830628,0.3749996333718401,0.373966129683417
PCFR+ (γ=∞),0.37490087477394735,0.3749992966726295,0.3750001803573178,0.37499776695289544,0.375,0.3739664935382074
BM-PCFR+ (γ=∞),0.37489982745419526,0.37499883901677084,0.3750001768858471,0.37499776374845334,0.3750000000000001,0.37396709699167363
