regret_minimizer,CFR+,BM-CFR+,PCFR+,BM-PCFR+,PCFR+ (γ=∞),BM-PCFR+ (γ=∞)
CFR+,7.999987890328336,7.999987890328336,7.999993936078898,7.999993936078898,7.999993945160613,7.999993945160613
BM-CFR+,7.999987890328336,7.999987890328336,7.999993936078898,7.999993936078898,7.999993945160613,7.999993945160613
PCFR+,7.999993936078898,7.999993936078898,7.999999981836551,7.999999981836551,7.999999990918275,7.999999990918275
BM-PCFR+,7.999993936078898,7.999993936078898,7.999999981836551,7.999999981836551,7.999999990918275,7.999999990918275
PCFR+ (γ=∞),7.999993945160613,7.999993945160613,7.999999990918275,7.999999990918275,8.0,8.0
BM-PCFR+ (γ=∞),7.999993945160613,7.999993945160613,7.999999990918275,7.999999990918275,8.0,8.0
