,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.0811927318572998,2.373611111111111
1,Sequence-form,Ours (parallelized),0.10249495506286621,2.061319444444444
2,Sequence-form,Ours (parallelized),0.14515376091003418,1.6590264691929166
3,Sequence-form,Ours (parallelized),0.23286843299865723,1.044775204567779
4,Sequence-form,Ours (parallelized),0.4079310894012451,0.5981195166848349
5,Sequence-form,Ours (parallelized),0.7534992694854736,0.2925546674505396
6,Sequence-form,Ours (parallelized),1.4478600025177002,0.15541203524566527
7,Sequence-form,Ours (parallelized),2.847430467605591,0.07688095652375702
8,Sequence-form,Ours (parallelized),5.586518049240112,0.044124532670572106
9,Sequence-form,Ours (parallelized),11.378263235092163,0.020267758928283766
10,Sequence-form,Ours (parallelized),22.295499086380005,0.012257922542437141
11,Sequence-form,Ours (parallelized),44.75251817703247,0.007080388127905776
12,Sequence-form,Ours (parallelized),88.76525950431824,0.0038322959213140523
13,Sequence-form,Ours (parallelized),176.66237115859985,0.002330391992365226
14,Sequence-form,Ours (parallelized),356.6436595916748,0.0013644476862771857
15,Sequence-form,Ours (parallelized),711.3285915851593,0.0008576083650926533
16,Sequence-form,Ours (parallelized),1000.0194215774536,0.0006307558636720473
17,Sequence-form,Ours (unparallelized),0.049471378326416016,2.373611111111111
18,Sequence-form,Ours (unparallelized),0.09793877601623535,2.061319444444444
19,Sequence-form,Ours (unparallelized),0.19439053535461426,1.6590264691929164
20,Sequence-form,Ours (unparallelized),0.3843708038330078,1.044775204567779
21,Sequence-form,Ours (unparallelized),0.7656576633453369,0.5981195166848352
22,Sequence-form,Ours (unparallelized),1.538221836090088,0.2925546674505395
23,Sequence-form,Ours (unparallelized),3.066693067550659,0.15541203524566582
24,Sequence-form,Ours (unparallelized),6.096294641494751,0.07688095652376215
25,Sequence-form,Ours (unparallelized),12.292666912078857,0.04412453267076322
26,Sequence-form,Ours (unparallelized),24.42839765548706,0.020267758643668296
27,Sequence-form,Ours (unparallelized),49.06457328796387,0.012260049440420848
28,Sequence-form,Ours (unparallelized),98.05429577827454,0.007700856529267552
29,Sequence-form,Ours (unparallelized),195.93242001533508,0.0038256724024255603
30,Sequence-form,Ours (unparallelized),396.6143093109131,0.0024748143917012605
31,Sequence-form,Ours (unparallelized),801.7622756958008,0.0013772710204657465
32,Sequence-form,Ours (unparallelized),1000.0314509868622,0.0011357913836084615
33,Classical,OpenSpiel (C++),0.018716096878051758,2.373611111111111
34,Classical,OpenSpiel (C++),0.030890464782714844,2.0613194444444445
35,Classical,OpenSpiel (C++),0.04894542694091797,1.6590264691929169
36,Classical,OpenSpiel (C++),0.09936404228210449,1.0447752045677787
37,Classical,OpenSpiel (C++),0.20058989524841309,0.5981195166848348
38,Classical,OpenSpiel (C++),0.40982961654663086,0.2925546674505396
39,Classical,OpenSpiel (C++),0.8267726898193359,0.15541203524566666
40,Classical,OpenSpiel (C++),1.635585069656372,0.07688095652375418
41,Classical,OpenSpiel (C++),3.258171796798706,0.04412453267070596
42,Classical,OpenSpiel (C++),6.489961862564087,0.020267758774260264
43,Classical,OpenSpiel (C++),13.051843881607056,0.012255434007214128
44,Classical,OpenSpiel (C++),26.461419820785522,0.0064842553254322866
45,Classical,OpenSpiel (C++),53.84877920150757,0.004206927859356613
46,Classical,OpenSpiel (C++),107.491135597229,0.0022311648420241387
47,Classical,OpenSpiel (C++),211.54807114601135,0.0013874421743742538
48,Classical,OpenSpiel (C++),429.6835153102875,0.0007957536093677886
49,Classical,OpenSpiel (C++),878.0419404506683,0.0005422934459664713
50,Classical,OpenSpiel (C++),1000.0001599788666,0.0004949170538954134
51,Classical,OpenSpiel (Python),0.17661786079406738,2.373611111111111
52,Classical,OpenSpiel (Python),0.3102893829345703,2.0613194444444445
53,Classical,OpenSpiel (Python),0.5183780193328857,1.6590264691929169
54,Classical,OpenSpiel (Python),1.1002709865570068,1.0447752045677787
55,Classical,OpenSpiel (Python),2.2731142044067383,0.5981195166848348
56,Classical,OpenSpiel (Python),4.69519305229187,0.2925546674505396
57,Classical,OpenSpiel (Python),9.710083723068237,0.15541203524566666
58,Classical,OpenSpiel (Python),19.40794801712036,0.07688095652375418
59,Classical,OpenSpiel (Python),38.71923232078552,0.04412453267070596
60,Classical,OpenSpiel (Python),77.47379612922668,0.020267758774260264
61,Classical,OpenSpiel (Python),155.11952948570251,0.012255434007214128
62,Classical,OpenSpiel (Python),304.4424557685852,0.0064842553254322866
63,Classical,OpenSpiel (Python),622.397317647934,0.004206927859356613
64,Classical,OpenSpiel (Python),1000.1386375427246,0.002540925709059727
