,Implementation,Solver,Wall-clock time (s),Exploitability
66,Classical,OpenSpiel (Python),0.0037736892700195312,0.45833333333333326
67,Classical,OpenSpiel (Python),0.004861354827880859,0.27083333333333337
68,Classical,OpenSpiel (Python),0.0069255828857421875,0.14062500000000003
69,Classical,OpenSpiel (Python),0.011069536209106445,0.09045463963098324
70,Classical,OpenSpiel (Python),0.019304990768432617,0.050511690558091016
71,Classical,OpenSpiel (Python),0.035466909408569336,0.024046802161084208
72,Classical,OpenSpiel (Python),0.06856012344360352,0.014350716500796917
73,Classical,OpenSpiel (Python),0.13351202011108398,0.006519359677160191
74,Classical,OpenSpiel (Python),0.2633342742919922,0.0038495189232113924
75,Classical,OpenSpiel (Python),0.5245864391326904,0.0017836032669532598
76,Classical,OpenSpiel (Python),1.0460782051086426,0.000609695182788611
77,Classical,OpenSpiel (Python),2.096036672592163,0.0005756514746741159
78,Classical,OpenSpiel (Python),4.223830461502075,0.00032204853320083604
79,Classical,OpenSpiel (Python),8.407710075378418,0.00013490398663681957
80,Classical,OpenSpiel (Python),16.874603748321533,9.279956460275796e-05
81,Classical,OpenSpiel (Python),33.937851428985596,4.9784207430986216e-05
82,Classical,OpenSpiel (Python),68.63112545013428,2.5459059439902898e-05
83,Classical,OpenSpiel (Python),137.38145279884338,1.2697970903696731e-05
84,Classical,OpenSpiel (Python),273.27942180633545,9.158838440603834e-06
85,Classical,OpenSpiel (Python),546.9931492805481,4.873673617844521e-06
86,Classical,OpenSpiel (Python),1000.0000691413879,2.946763050182266e-06
