,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.06354331970214844,0.003662109375
1,Sequence-form,Ours (parallelized),0.08110833168029785,0.0018310546875000035
2,Sequence-form,Ours (parallelized),0.11710476875305176,0.0009155273437542908
3,Sequence-form,Ours (parallelized),0.18725085258483887,0.0004630345751727473
4,Sequence-form,Ours (parallelized),0.3295586109161377,0.04192756391280776
5,Sequence-form,Ours (parallelized),0.6329927444458008,0.027676052643806737
6,Sequence-form,Ours (parallelized),1.1974198818206787,0.018739208418064784
7,Sequence-form,Ours (parallelized),2.3002729415893555,0.009122895454130748
8,Sequence-form,Ours (parallelized),4.7561235427856445,0.004931421429639613
9,Sequence-form,Ours (parallelized),9.40400505065918,0.0029758644425771598
10,Sequence-form,Ours (parallelized),19.147470712661743,0.0016563257335486387
11,Sequence-form,Ours (parallelized),38.03480386734009,0.0008653678710215593
12,Sequence-form,Ours (parallelized),77.53211879730225,0.0004934727001810911
13,Sequence-form,Ours (parallelized),152.03866696357727,0.0002766132962254038
14,Sequence-form,Ours (parallelized),301.1887423992157,0.0001501363776008572
15,Sequence-form,Ours (parallelized),610.016927242279,8.239648725289882e-05
16,Sequence-form,Ours (parallelized),1000.0004725456238,5.546083108245482e-05
17,Sequence-form,Ours (unparallelized),6.896039724349976,0.003662109375
18,Sequence-form,Ours (unparallelized),13.785374641418457,0.0018310546875000035
19,Sequence-form,Ours (unparallelized),27.547868967056274,0.0009155273437500347
20,Sequence-form,Ours (unparallelized),55.06417894363403,0.00045776367187508327
21,Sequence-form,Ours (unparallelized),110.21920228004456,0.00022888183593769776
22,Sequence-form,Ours (unparallelized),220.3450562953949,0.00011444091796916633
23,Sequence-form,Ours (unparallelized),441.1801493167877,5.722045898522675e-05
24,Sequence-form,Ours (unparallelized),885.5438077449799,2.8610229493944775e-05
25,Sequence-form,Ours (unparallelized),1003.3417999744415,2.525592672614728e-05
26,Classical,OpenSpiel (C++),23.593258142471313,0.003662109375
27,Classical,OpenSpiel (C++),40.8891122341156,0.06722553020630678
28,Classical,OpenSpiel (C++),76.48862051963806,0.054044861713241424
29,Classical,OpenSpiel (C++),167.63045144081116,0.0434365752137539
30,Classical,OpenSpiel (C++),350.1380248069763,0.02631774288627807
31,Classical,OpenSpiel (C++),722.4210324287415,0.018872661799432634
32,Classical,OpenSpiel (C++),1003.7770266532898,0.015048600158878787
33,Classical,OpenSpiel (Python),214.28777289390564,0.003662109375
34,Classical,OpenSpiel (Python),354.0374138355255,0.06722553020630678
35,Classical,OpenSpiel (Python),660.7246778011322,0.054044861713241424
36,Classical,OpenSpiel (Python),1451.7300124168396,0.0434365752137539
